[2026-05-06 14:37:27] CONFIG agg=attention seed=2 total_steps=1000000 n_envs=16 device=cpu scenario=train_random_switch use_rbar=False rbar_floor=0.0 hidden_dim=64 r_gate=5.0 lambda_ewma=0.1 sigma_min=0.05 run_name=attention_full_risk_penalty method=attention_full_risk_penalty resume_from=none resume_global_step=0 use_safety_cost=True cost_type=risk_sum fallback_penalty=True beta_cost=5.0 use_risk_bias=False lambda_bias=0.2
FALLBACK: cost-penalty, not PPO-Lagrangian.
Using cpu device
Logging to /root/workspace/uav-risk-rl/runs/p1_three_seed/attention_full_risk_penalty_s2/PPO_1
[2026-05-06 14:37:29] TRAIN_START total_steps=1000000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 141      |
|    ep_rew_mean     | -62.6    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 3612     |
|    iterations      | 1        |
|    time_elapsed    | 4        |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 154          |
|    ep_rew_mean          | -58          |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 2127         |
|    iterations           | 2            |
|    time_elapsed         | 15           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0055297697 |
|    clip_fraction        | 0.0539       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.00303      |
|    learning_rate        | 0.0003       |
|    loss                 | 12.9         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00483     |
|    std                  | 1            |
|    value_loss           | 30.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | -50.5       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2001        |
|    iterations           | 3           |
|    time_elapsed         | 24          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007442875 |
|    clip_fraction        | 0.0805      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.524       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.68        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00703    |
|    std                  | 0.999       |
|    value_loss           | 19.5        |
-----------------------------------------
[2026-05-06 14:37:59] HEARTBEAT steps=50864/1000000 percent=  5.09% rate=  1695.4 step/s eta=   9.33 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | -45.4       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1938        |
|    iterations           | 4           |
|    time_elapsed         | 33          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.009448616 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.725       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.56        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00806    |
|    std                  | 0.978       |
|    value_loss           | 7.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 193         |
|    ep_rew_mean          | -41.9       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1905        |
|    iterations           | 5           |
|    time_elapsed         | 42          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.013716642 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | 0.768       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.86        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.012      |
|    std                  | 0.958       |
|    value_loss           | 4.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 195         |
|    ep_rew_mean          | -38.2       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1879        |
|    iterations           | 6           |
|    time_elapsed         | 52          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.014817887 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.762       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.04        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 0.943       |
|    value_loss           | 2.26        |
-----------------------------------------
[2026-05-06 14:38:29] HEARTBEAT steps=108512/1000000 percent= 10.85% rate=  1808.5 step/s eta=   8.22 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | -34.1       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1860        |
|    iterations           | 7           |
|    time_elapsed         | 61          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.015178366 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.567       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0138     |
|    std                  | 0.919       |
|    value_loss           | 1.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -30.3       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1851        |
|    iterations           | 8           |
|    time_elapsed         | 70          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.018180493 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.94       |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.141       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.897       |
|    value_loss           | 0.523       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -25.8       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1837        |
|    iterations           | 9           |
|    time_elapsed         | 80          |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.018827187 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.87       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0801      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0188     |
|    std                  | 0.874       |
|    value_loss           | 0.706       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -21         |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1826        |
|    iterations           | 10          |
|    time_elapsed         | 89          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.018875329 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.78       |
|    explained_variance   | 0.713       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.147       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0224     |
|    std                  | 0.849       |
|    value_loss           | 0.397       |
-----------------------------------------
[2026-05-06 14:39:03] HEARTBEAT steps=163856/1000000 percent= 16.39% rate=  1730.7 step/s eta=   8.05 min
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | -17.8      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 1822       |
|    iterations           | 11         |
|    time_elapsed         | 98         |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.02043368 |
|    clip_fraction        | 0.266      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.69      |
|    explained_variance   | 0.753      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0542     |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0206    |
|    std                  | 0.821      |
|    value_loss           | 0.462      |
