[2026-05-06 14:08:12] CONFIG agg=attention seed=1 total_steps=1000000 n_envs=16 device=cpu scenario=train_random_switch use_rbar=False rbar_floor=0.0 hidden_dim=64 r_gate=5.0 lambda_ewma=0.1 sigma_min=0.05 run_name=attention_full_distance_penalty method=attention_full_distance_penalty resume_from=none resume_global_step=0 use_safety_cost=True cost_type=distance_warning fallback_penalty=True beta_cost=5.0 use_risk_bias=False lambda_bias=0.2
FALLBACK: cost-penalty, not PPO-Lagrangian.
Using cpu device
Logging to /root/workspace/uav-risk-rl/runs/p1_three_seed/attention_full_distance_penalty_s1/PPO_1
[2026-05-06 14:08:14] TRAIN_START total_steps=1000000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 124      |
|    ep_rew_mean     | -27.4    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 3592     |
|    iterations      | 1        |
|    time_elapsed    | 4        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | -24.2       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2133        |
|    iterations           | 2           |
|    time_elapsed         | 15          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.010449968 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | -0.0136     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.45        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00932    |
|    std                  | 0.979       |
|    value_loss           | 2.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -22.4       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1984        |
|    iterations           | 3           |
|    time_elapsed         | 24          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.011880608 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.15       |
|    explained_variance   | 0.298       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.91        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.958       |
|    value_loss           | 2.18        |
-----------------------------------------
[2026-05-06 14:08:44] HEARTBEAT steps=49904/1000000 percent=  4.99% rate=  1663.4 step/s eta=   9.52 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 133         |
|    ep_rew_mean          | -18.3       |
|    success_rate         | 0.05        |
| time/                   |             |
|    fps                  | 1922        |
|    iterations           | 4           |
|    time_elapsed         | 34          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.015318101 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.479       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.681       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0192     |
|    std                  | 0.935       |
|    value_loss           | 1.35        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | -11.8       |
|    success_rate         | 0.25        |
| time/                   |             |
|    fps                  | 1901        |
|    iterations           | 5           |
|    time_elapsed         | 43          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.017586034 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.405       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.66        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.909       |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | -1.52       |
|    success_rate         | 0.64        |
| time/                   |             |
|    fps                  | 1881        |
|    iterations           | 6           |
|    time_elapsed         | 52          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.014558734 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.93       |
|    explained_variance   | 0.356       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.37        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0186     |
|    std                  | 0.89        |
|    value_loss           | 3.98        |
-----------------------------------------
[2026-05-06 14:09:14] HEARTBEAT steps=109248/1000000 percent= 10.92% rate=  1820.6 step/s eta=   8.15 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 87.9        |
|    ep_rew_mean          | 3.21        |
|    success_rate         | 0.74        |
| time/                   |             |
|    fps                  | 1868        |
|    iterations           | 7           |
|    time_elapsed         | 61          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.013466695 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.86       |
|    explained_variance   | 0.514       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.31        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0178     |
|    std                  | 0.869       |
|    value_loss           | 5.17        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73.3        |
|    ep_rew_mean          | 5.05        |
|    success_rate         | 0.72        |
| time/                   |             |
|    fps                  | 1857        |
|    iterations           | 8           |
|    time_elapsed         | 70          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.016019039 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.79       |
|    explained_variance   | 0.719       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.89        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0211     |
|    std                  | 0.848       |
|    value_loss           | 4.22        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 62.4       |
|    ep_rew_mean          | 9.8        |
|    success_rate         | 0.82       |
| time/                   |            |
|    fps                  | 1848       |
|    iterations           | 9          |
|    time_elapsed         | 79         |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.02174837 |
|    clip_fraction        | 0.244      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.7       |
|    explained_variance   | 0.775      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.04       |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0209    |
|    std                  | 0.825      |
|    value_loss           | 4.09       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.3        |
|    ep_rew_mean          | 11          |
|    success_rate         | 0.82        |
| time/                   |             |
|    fps                  | 1839        |
|    iterations           | 10          |
|    time_elapsed         | 89          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.017663233 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.62       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.87        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0176     |
|    std                  | 0.803       |
