Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/tensorboard/PPO_1
[2026-05-17 06:42:56] N3FZ_TRAIN_START config=stab_s2d_gated total_steps=1500000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -30      |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 260      |
|    iterations      | 1        |
|    time_elapsed    | 15       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -20.8       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.019039713 |
|    clip_fraction        | 0.27        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.0275      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.158       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0345     |
|    std                  | 0.99        |
|    value_loss           | 0.536       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 459         |
|    ep_rew_mean          | -13.6       |
|    success_rate         | 0.0417      |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.019965712 |
|    clip_fraction        | 0.282       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.19       |
|    explained_variance   | 0.00729     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.151       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0389     |
|    std                  | 0.969       |
|    value_loss           | 0.518       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 406         |
|    ep_rew_mean          | -7.08       |
|    success_rate         | 0.0513      |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 4           |
|    time_elapsed         | 73          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.017992057 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.15       |
|    explained_variance   | -0.00212    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.321       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.021      |
|    std                  | 0.964       |
|    value_loss           | 1.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 347         |
|    ep_rew_mean          | -1.1        |
|    success_rate         | 0.0862      |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 5           |
|    time_elapsed         | 91          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.013251172 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | 0.516       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.333       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.961       |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 309         |
