Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/tensorboard/PPO_1
[2026-05-17 06:42:56] N3FZ_TRAIN_START config=stab_s2d_gated total_steps=1500000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -29.7    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 253      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -24.1       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.017636113 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | -0.431      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.097       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0298     |
|    std                  | 0.987       |
|    value_loss           | 0.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 459         |
|    ep_rew_mean          | -16.2       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 3           |
|    time_elapsed         | 55          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.021692108 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | -0.0106     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0966      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0382     |
|    std                  | 0.976       |
|    value_loss           | 0.455       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 407         |
|    ep_rew_mean          | -9.52       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 4           |
|    time_elapsed         | 73          |
|    total_timesteps      | 16384       |
| train/                  |             |
