Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s3/tensorboard/PPO_1
[2026-05-17 06:51:33] N3FZ_TRAIN_START config=stab_s2d_gated total_steps=1500000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -31.6    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 255      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -22.6       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.020201504 |
|    clip_fraction        | 0.249       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | -0.0563     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.145       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0317     |
|    std                  | 0.981       |
|    value_loss           | 0.482       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 464         |
|    ep_rew_mean          | -13.4       |
|    success_rate         | 0.0833      |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 3           |
|    time_elapsed         | 53          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.021790124 |
|    clip_fraction        | 0.291       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.18       |
|    explained_variance   | 0.0368      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.182       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.039      |
|    std                  | 0.969       |
|    value_loss           | 0.506       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 414         |
|    ep_rew_mean          | -7.95       |
|    success_rate         | 0.0526      |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 4           |
|    time_elapsed         | 72          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.019212786 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | -0.0168     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.874       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.958       |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 360         |
|    ep_rew_mean          | -2.27       |
|    success_rate         | 0.0714      |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 5           |
|    time_elapsed         | 90          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.012213442 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.11       |
|    explained_variance   | 0.277       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.38        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.952       |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 306         |
|    ep_rew_mean          | 0.964       |
|    success_rate         | 0.0506      |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 6           |
|    time_elapsed         | 109         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.012688575 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.1        |
|    explained_variance   | 0.587       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.683       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.945       |
|    value_loss           | 1.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 278         |
|    ep_rew_mean          | 4.13        |
|    success_rate         | 0.08        |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 7           |
|    time_elapsed         | 128         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.008333584 |
|    clip_fraction        | 0.0865      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.328       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00746    |
|    std                  | 0.945       |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
