[2026-05-08 09:30:15] CONFIG agg=attention seed=0 total_steps=750000 n_envs=16 device=cpu scenario=train_mixed_modes_v2 use_rbar=False rbar_floor=0.0 hidden_dim=64 r_gate=5.0 lambda_ewma=0.1 sigma_min=0.05 run_name=risk_beta2 method=attention_full_risk_penalty_beta2 resume_from=none resume_global_step=0 use_safety_cost=True cost_type=risk_sum fallback_penalty=True beta_cost=2.0 use_risk_bias=False lambda_bias=0.2
FALLBACK: cost-penalty, not PPO-Lagrangian.
Using cpu device
Logging to /root/workspace/uav-risk-rl/runs/pre_ppo_priority/p0_5_beta_sweep/risk_beta2_s0/PPO_1
[2026-05-08 09:30:17] TRAIN_START total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 144      |
|    ep_rew_mean     | -38.6    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 3161     |
|    iterations      | 1        |
|    time_elapsed    | 5        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 134         |
|    ep_rew_mean          | -32.5       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2070        |
|    iterations           | 2           |
|    time_elapsed         | 15          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.009278869 |
|    clip_fraction        | 0.0971      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | -0.0144     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.12        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00733    |
|    std                  | 0.979       |
|    value_loss           | 5.71        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 161         |
|    ep_rew_mean          | -30.5       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1938        |
|    iterations           | 3           |
|    time_elapsed         | 25          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.010622241 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.16       |
|    explained_variance   | 0.519       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.62        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00943    |
|    std                  | 0.965       |
|    value_loss           | 3.51        |
-----------------------------------------
[2026-05-08 09:30:47] HEARTBEAT steps=49168/750000 percent=  6.56% rate=  1635.3 step/s eta=   7.14 min
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 157         |
|    ep_rew_mean          | -25.5       |
|    success_rate         | 0.05        |
| time/                   |             |
|    fps                  | 1862        |
|    iterations           | 4           |
|    time_elapsed         | 35          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.014722628 |
|    clip_fraction        | 0.185       |
