Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/tensorboard/PPO_1
[2026-05-17 18:04:43] N3FZ_TRAIN_START config=decouple_deepsets_gpsi total_steps=250000 start_num_timesteps=750000
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 122      |
|    ep_rew_mean     | 20.7     |
|    success_rate    | 0.38     |
| time/              |          |
|    fps             | 256      |
|    iterations      | 1        |
|    time_elapsed    | 15       |
|    total_timesteps | 754096   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 20.6        |
|    success_rate         | 0.35        |
| time/                   |             |
|    fps                  | 239         |
|    iterations           | 2           |
|    time_elapsed         | 34          |
|    total_timesteps      | 758192      |
| train/                  |             |
|    approx_kl            | 0.039150953 |
|    clip_fraction        | 0.31        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.51       |
|    explained_variance   | 0.566       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.419       |
|    n_updates            | 1840        |
|    policy_gradient_loss | 0.0016      |
|    std                  | 1.1         |
|    value_loss           | 2.92        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 122         |
|    ep_rew_mean          | 20.2        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 234         |
|    iterations           | 3           |
|    time_elapsed         | 52          |
|    total_timesteps      | 762288      |
| train/                  |             |
|    approx_kl            | 0.030229622 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.51       |
|    explained_variance   | 0.636       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.258       |
|    n_updates            | 1850        |
|    policy_gradient_loss | 0.00104     |
|    std                  | 1.1         |
|    value_loss           | 3.18        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 20          |
|    success_rate         | 0.31        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 4           |
|    time_elapsed         | 70          |
|    total_timesteps      | 766384      |
| train/                  |             |
|    approx_kl            | 0.032073595 |
|    clip_fraction        | 0.282       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.51       |
|    explained_variance   | 0.713       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.429       |
|    n_updates            | 1860        |
|    policy_gradient_loss | -0.00629    |
|    std                  | 1.1         |
|    value_loss           | 2.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 127         |
|    ep_rew_mean          | 20.6        |
|    success_rate         | 0.33        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 5           |
|    time_elapsed         | 88          |
|    total_timesteps      | 770480      |
| train/                  |             |
|    approx_kl            | 0.028363895 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.52       |
|    explained_variance   | 0.675       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.56        |
|    n_updates            | 1870        |
|    policy_gradient_loss | -0.00388    |
|    std                  | 1.1         |
|    value_loss           | 3.74        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 129        |
|    ep_rew_mean          | 22.2       |
|    success_rate         | 0.4        |
| time/                   |            |
|    fps                  | 229        |
|    iterations           | 6          |
|    time_elapsed         | 106        |
|    total_timesteps      | 774576     |
| train/                  |            |
|    approx_kl            | 0.03588517 |
|    clip_fraction        | 0.308      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.52      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.243      |
|    n_updates            | 1880       |
|    policy_gradient_loss | -0.00195   |
|    std                  | 1.11       |
|    value_loss           | 2.56       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 22.4        |
|    success_rate         | 0.37        |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 7           |
|    time_elapsed         | 125         |
|    total_timesteps      | 778672      |
| train/                  |             |
|    approx_kl            | 0.028905163 |
