Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/tensorboard/PPO_1
[2026-05-17 18:04:46] N3FZ_TRAIN_START config=decouple_deepsets_obs total_steps=250000 start_num_timesteps=750000
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 191      |
|    ep_rew_mean     | 17.4     |
|    success_rate    | 0.23     |
| time/              |          |
|    fps             | 243      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 754096   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 184         |
|    ep_rew_mean          | 17.6        |
|    success_rate         | 0.25        |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 758192      |
| train/                  |             |
|    approx_kl            | 0.034893714 |
|    clip_fraction        | 0.272       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0511      |
|    n_updates            | 1840        |
|    policy_gradient_loss | -0.00603    |
|    std                  | 0.931       |
|    value_loss           | 1.07        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 190         |
|    ep_rew_mean          | 18.7        |
|    success_rate         | 0.28        |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 762288      |
| train/                  |             |
|    approx_kl            | 0.041249033 |
|    clip_fraction        | 0.302       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | 0.819       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.132       |
|    n_updates            | 1850        |
|    policy_gradient_loss | -0.00236    |
|    std                  | 0.931       |
|    value_loss           | 1.85        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 202        |
|    ep_rew_mean          | 19         |
|    success_rate         | 0.29       |
| time/                   |            |
|    fps                  | 222        |
|    iterations           | 4          |
|    time_elapsed         | 73         |
|    total_timesteps      | 766384     |
| train/                  |            |
|    approx_kl            | 0.03782677 |
|    clip_fraction        | 0.316      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.03      |
|    explained_variance   | 0.826      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.16       |
|    n_updates            | 1860       |
|    policy_gradient_loss | 0.00228    |
|    std                  | 0.932      |
|    value_loss           | 1.71       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | 18.6        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 5           |
|    time_elapsed         | 92          |
|    total_timesteps      | 770480      |
| train/                  |             |
|    approx_kl            | 0.036853805 |
|    clip_fraction        | 0.325       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0789      |
|    n_updates            | 1870        |
|    policy_gradient_loss | -0.00213    |
|    std                  | 0.942       |
|    value_loss           | 1.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 217         |
|    ep_rew_mean          | 18.1        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 6           |
|    time_elapsed         | 111         |
|    total_timesteps      | 774576      |
| train/                  |             |
|    approx_kl            | 0.042086154 |
|    clip_fraction        | 0.336       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.06       |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.114       |
|    n_updates            | 1880        |
|    policy_gradient_loss | 0.00589     |
|    std                  | 0.942       |
|    value_loss           | 1.68        |
-----------------------------------------
-----------------------------------------
