Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s0/tensorboard/PPO_1
[2026-05-17 13:31:19] N3FZ_TRAIN_START config=decouple_nk_obs total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -30.3    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 236      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 4096     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | -22.3      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 228        |
|    iterations           | 2          |
|    time_elapsed         | 35         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.01949795 |
|    clip_fraction        | 0.25       |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.23      |
|    explained_variance   | -0.00323   |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0178    |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0348    |
|    std                  | 0.987      |
|    value_loss           | 0.278      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 488         |
|    ep_rew_mean          | -16.5       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.019382456 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.041       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0404     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0401     |
|    std                  | 0.974       |
|    value_loss           | 0.217       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 463         |
|    ep_rew_mean          | -12.3       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 4           |
|    time_elapsed         | 73          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.020802628 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.16       |
|    explained_variance   | 0.155       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00864    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0306     |
|    std                  | 0.967       |
|    value_loss           | 0.295       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 424        |
|    ep_rew_mean          | -7.85      |
|    success_rate         | 0.0213     |
| time/                   |            |
|    fps                  | 222        |
|    iterations           | 5          |
|    time_elapsed         | 92         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.01723842 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.13      |
|    explained_variance   | 0.657      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0242    |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0275    |
|    std                  | 0.953      |
|    value_loss           | 0.358      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 390         |
|    ep_rew_mean          | -4.81       |
|    success_rate         | 0.0164      |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 6           |
|    time_elapsed         | 110         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.016602095 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.1        |
|    explained_variance   | 0.667       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0186      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0247     |
|    std                  | 0.948       |
|    value_loss           | 0.516       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 355         |
|    ep_rew_mean          | -1.01       |
|    success_rate         | 0.05        |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 7           |
|    time_elapsed         | 128         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.016412929 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.824       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0181      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0219     |
|    std                  | 0.948       |
|    value_loss           | 0.493       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 333         |
|    ep_rew_mean          | 1.22        |
|    success_rate         | 0.0722      |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 8           |
|    time_elapsed         | 146         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.017806724 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.732       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0708      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0129     |
|    std                  | 0.946       |
|    value_loss           | 1.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 7.1         |
|    success_rate         | 0.1         |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 9           |
|    time_elapsed         | 164         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.015569728 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.771       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.189       |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0124     |
|    std                  | 0.945       |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 240         |
|    ep_rew_mean          | 10.6        |
|    success_rate         | 0.16        |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 10          |
|    time_elapsed         | 182         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.015726421 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.742       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0154     |
|    std                  | 0.942       |
|    value_loss           | 1.41        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 210        |
|    ep_rew_mean          | 11.7       |
|    success_rate         | 0.16       |
| time/                   |            |
|    fps                  | 223        |
|    iterations           | 11         |
|    time_elapsed         | 201        |
|    total_timesteps      | 45056      |
| train/                  |            |
|    approx_kl            | 0.01674759 |
|    clip_fraction        | 0.166      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.07      |
|    explained_variance   | 0.673      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.199      |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0105    |
|    std                  | 0.941      |
|    value_loss           | 2.09       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 201        |
|    ep_rew_mean          | 11.5       |
|    success_rate         | 0.14       |
| time/                   |            |
|    fps                  | 223        |
|    iterations           | 12         |
|    time_elapsed         | 220        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.01503779 |
|    clip_fraction        | 0.147      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.07      |
|    explained_variance   | 0.797      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.24       |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0111    |
|    std                  | 0.94       |
|    value_loss           | 1.58       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 192         |
|    ep_rew_mean          | 11.6        |
|    success_rate         | 0.14        |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 13          |
|    time_elapsed         | 238         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.015611079 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.06       |
|    explained_variance   | 0.849       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.171       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0117     |
|    std                  | 0.94        |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 187         |
|    ep_rew_mean          | 10.6        |
|    success_rate         | 0.1         |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 14          |
|    time_elapsed         | 256         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.014261734 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.836       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.24        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0113     |
|    std                  | 0.94        |
|    value_loss           | 2           |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 178         |
|    ep_rew_mean          | 9.39        |
|    success_rate         | 0.09        |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 15          |
|    time_elapsed         | 275         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.017237192 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.362       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00769    |
|    std                  | 0.941       |
|    value_loss           | 2.53        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
