Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/tensorboard/PPO_1
[2026-05-17 14:36:35] N3FZ_TRAIN_START config=decouple_deepsets_gpsi total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -28.8    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 250      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 4096     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | -20.9      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 227        |
|    iterations           | 2          |
|    time_elapsed         | 36         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.01941726 |
|    clip_fraction        | 0.247      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.25      |
|    explained_variance   | -0.118     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0984     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0335    |
|    std                  | 0.993      |
|    value_loss           | 0.413      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 477        |
|    ep_rew_mean          | -14.2      |
|    success_rate         | 0.0417     |
| time/                   |            |
|    fps                  | 221        |
|    iterations           | 3          |
|    time_elapsed         | 55         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01965331 |
|    clip_fraction        | 0.262      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.21      |
|    explained_variance   | -0.0961    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0759     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0366    |
|    std                  | 0.978      |
|    value_loss           | 0.421      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 424         |
|    ep_rew_mean          | -8.07       |
|    success_rate         | 0.0541      |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 4           |
|    time_elapsed         | 75          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.018324545 |
