Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/tensorboard/PPO_1
[2026-05-17 18:04:41] N3FZ_TRAIN_START config=decouple_deepsets_gpsi total_steps=250000 start_num_timesteps=750000
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 240      |
|    ep_rew_mean     | 18.9     |
|    success_rate    | 0.22     |
| time/              |          |
|    fps             | 248      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 754096   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 232        |
|    ep_rew_mean          | 19.4       |
|    success_rate         | 0.24       |
| time/                   |            |
|    fps                  | 232        |
|    iterations           | 2          |
|    time_elapsed         | 35         |
|    total_timesteps      | 758192     |
| train/                  |            |
|    approx_kl            | 0.04241979 |
|    clip_fraction        | 0.309      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.12      |
|    explained_variance   | 0.874      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.209      |
|    n_updates            | 1840       |
|    policy_gradient_loss | -0.000529  |
|    std                  | 0.969      |
|    value_loss           | 1.78       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 222        |
|    ep_rew_mean          | 21.2       |
|    success_rate         | 0.3        |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 3          |
|    time_elapsed         | 54         |
|    total_timesteps      | 762288     |
| train/                  |            |
|    approx_kl            | 0.04548184 |
|    clip_fraction        | 0.338      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.14      |
|    explained_variance   | 0.899      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.301      |
|    n_updates            | 1850       |
|    policy_gradient_loss | -0.00433   |
|    std                  | 0.97       |
|    value_loss           | 1.64       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 237         |
|    ep_rew_mean          | 21.2        |
|    success_rate         | 0.3         |
| time/                   |             |
|    fps                  | 219         |
|    iterations           | 4           |
|    time_elapsed         | 74          |
|    total_timesteps      | 766384      |
| train/                  |             |
|    approx_kl            | 0.035355974 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | 0.877       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.43        |
|    n_updates            | 1860        |
|    policy_gradient_loss | -0.00279    |
|    std                  | 0.971       |
|    value_loss           | 1.66        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 252         |
|    ep_rew_mean          | 20.6        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 5           |
|    time_elapsed         | 94          |
|    total_timesteps      | 770480      |
| train/                  |             |
|    approx_kl            | 0.032053996 |
|    clip_fraction        | 0.295       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.15       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0729      |
|    n_updates            | 1870        |
|    policy_gradient_loss | -0.00489    |
|    std                  | 0.972       |
|    value_loss           | 0.886       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 245        |
|    ep_rew_mean          | 21.2       |
|    success_rate         | 0.31       |
| time/                   |            |
|    fps                  | 215        |
|    iterations           | 6          |
|    time_elapsed         | 113        |
|    total_timesteps      | 774576     |
| train/                  |            |
|    approx_kl            | 0.05300869 |
|    clip_fraction        | 0.322      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.14      |
|    explained_variance   | 0.905      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0291     |
|    n_updates            | 1880       |
|    policy_gradient_loss | -0.00854   |
|    std                  | 0.968      |
|    value_loss           | 0.848      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 260         |
|    ep_rew_mean          | 21          |
|    success_rate         | 0.31        |
| time/                   |             |
