Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/tensorboard/PPO_1
[2026-05-17 14:41:38] N3FZ_TRAIN_START config=decouple_deepsets_gpsi total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -33.2    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 228      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 4096     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | -23.9      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 2          |
|    time_elapsed         | 37         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.01918764 |
|    clip_fraction        | 0.23       |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.24      |
|    explained_variance   | -0.365     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0599     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0297    |
|    std                  | 0.991      |
|    value_loss           | 0.365      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 477         |
|    ep_rew_mean          | -17         |
|    success_rate         | 0.0417      |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 3           |
|    time_elapsed         | 56          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.021515002 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.0709      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.076       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0386     |
|    std                  | 0.976       |
|    value_loss           | 0.366       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 435        |
|    ep_rew_mean          | -10.4      |
|    success_rate         | 0.0556     |
| time/                   |            |
|    fps                  | 216        |
|    iterations           | 4          |
|    time_elapsed         | 75         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.01926097 |
|    clip_fraction        | 0.222      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.17      |
|    explained_variance   | 0.115      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.13       |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.021     |
|    std                  | 0.966      |
|    value_loss           | 0.821      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 375          |
|    ep_rew_mean          | -4.84        |
|    success_rate         | 0.0566       |
| time/                   |              |
|    fps                  | 218          |
|    iterations           | 5            |
|    time_elapsed         | 93           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0119109545 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.15        |
|    explained_variance   | 0.654        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0939       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0149      |
|    std                  | 0.964        |
|    value_loss           | 0.784        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 341         |
|    ep_rew_mean          | -1.75       |
|    success_rate         | 0.0571      |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 6           |
|    time_elapsed         | 112         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.009750394 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | 0.692       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.198       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0121     |
|    std                  | 0.961       |
|    value_loss           | 1.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 306         |
|    ep_rew_mean          | 0.107       |
|    success_rate         | 0.0435      |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 7           |
|    time_elapsed         | 131         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.011029037 |
|    clip_fraction        | 0.0929      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | 0.841       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.144       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.013      |
|    std                  | 0.957       |
|    value_loss           | 0.814       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 254         |
|    ep_rew_mean          | 5.76        |
|    success_rate         | 0.06        |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 8           |
|    time_elapsed         | 151         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.010220354 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.863       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0117     |
|    std                  | 0.956       |
|    value_loss           | 1.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 208         |
|    ep_rew_mean          | 8.83        |
|    success_rate         | 0.09        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 9           |
|    time_elapsed         | 171         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.012077544 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.285       |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0112     |
|    std                  | 0.955       |
|    value_loss           | 2.09        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 193        |
|    ep_rew_mean          | 10         |
|    success_rate         | 0.11       |
| time/                   |            |
|    fps                  | 215        |
|    iterations           | 10         |
|    time_elapsed         | 190        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.01125254 |
|    clip_fraction        | 0.119      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.11      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.39       |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.00995   |
|    std                  | 0.955      |
|    value_loss           | 3.39       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 182         |
|    ep_rew_mean          | 11.4        |
|    success_rate         | 0.14        |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 11          |
|    time_elapsed         | 209         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.013740326 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.801       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.562       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00754    |
|    std                  | 0.956       |
|    value_loss           | 2.21        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 11.3        |
|    success_rate         | 0.13        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 12          |
|    time_elapsed         | 228         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.010173648 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.749       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.702       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00867    |
|    std                  | 0.957       |
|    value_loss           | 3.18        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 160         |
|    ep_rew_mean          | 10.8        |
|    success_rate         | 0.1         |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 13          |
|    time_elapsed         | 246         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.010434513 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.782       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.635       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00882    |
|    std                  | 0.958       |
|    value_loss           | 2.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
