Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/tensorboard/PPO_1
[2026-05-17 13:36:26] N3FZ_TRAIN_START config=decouple_deepsets_obs total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -32.5    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 238      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -21.8       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.019522175 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | -0.0655     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0666      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0306     |
|    std                  | 0.989       |
|    value_loss           | 0.393       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 485         |
|    ep_rew_mean          | -15.1       |
|    success_rate         | 0.0417      |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 3           |
|    time_elapsed         | 55          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.019534644 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | -0.0523     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0139      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.038      |
|    std                  | 0.979       |
|    value_loss           | 0.269       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 452         |
|    ep_rew_mean          | -10.8       |
|    success_rate         | 0.0294      |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 4           |
|    time_elapsed         | 74          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.015726635 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.17       |
|    explained_variance   | 0.213       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0653      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.968       |
|    value_loss           | 0.729       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 406        |
|    ep_rew_mean          | -6.22      |
|    success_rate         | 0.0204     |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 5          |
|    time_elapsed         | 94         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.01314952 |
|    clip_fraction        | 0.154      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.14      |
|    explained_variance   | 0.673      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0323     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0209    |
|    std                  | 0.96       |
|    value_loss           | 0.486      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 380         |
|    ep_rew_mean          | -3.05       |
|    success_rate         | 0.0476      |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 6           |
|    time_elapsed         | 113         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.015296327 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0393      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0213     |
|    std                  | 0.955       |
|    value_loss           | 0.408       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 338         |
|    ep_rew_mean          | 0.329       |
|    success_rate         | 0.0714      |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 7           |
|    time_elapsed         | 132         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.010050668 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.11       |
|    explained_variance   | 0.826       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.232       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.95        |
|    value_loss           | 1.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 3.55        |
|    success_rate         | 0.06        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 8           |
|    time_elapsed         | 151         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.014907307 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.798       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.434       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.948       |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 237         |
|    ep_rew_mean          | 6.59        |
|    success_rate         | 0.05        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 9           |
|    time_elapsed         | 171         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.011452358 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.899       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.145       |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.946       |
|    value_loss           | 1.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | 8.16        |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 10          |
|    time_elapsed         | 189         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.012535321 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.312       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00984    |
|    std                  | 0.949       |
|    value_loss           | 1.65        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | 8.58        |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 11          |
|    time_elapsed         | 209         |
|    total_timesteps      | 45056       |
