Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/tensorboard/PPO_1
[2026-05-17 14:41:38] N3FZ_TRAIN_START config=decouple_deepsets_obs total_steps=750000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | -32.9    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 239      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | -23.1       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 2           |
|    time_elapsed         | 36          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.019162321 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.104       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0778      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0324     |
|    std                  | 0.991       |
|    value_loss           | 0.364       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 489         |
|    ep_rew_mean          | -16.9       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 3           |
|    time_elapsed         | 55          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.020840526 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.0512      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.041       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0384     |
|    std                  | 0.978       |
|    value_loss           | 0.353       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 457        |
|    ep_rew_mean          | -12.5      |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 219        |
|    iterations           | 4          |
|    time_elapsed         | 74         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.01986165 |
|    clip_fraction        | 0.251      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.18      |
|    explained_variance   | 0.36       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0544     |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0292    |
|    std                  | 0.971      |
|    value_loss           | 0.429      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 426         |
|    ep_rew_mean          | -8.23       |
|    success_rate         | 0.0222      |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 5           |
|    time_elapsed         | 94          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.014703864 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.16       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0909      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0211     |
|    std                  | 0.966       |
|    value_loss           | 0.432       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 388         |
|    ep_rew_mean          | -4.77       |
|    success_rate         | 0.0161      |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 6           |
|    time_elapsed         | 113         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.011829249 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | 0.816       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.279       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.956       |
|    value_loss           | 0.728       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 364         |
|    ep_rew_mean          | -2.04       |
|    success_rate         | 0.039       |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 7           |
|    time_elapsed         | 132         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.014309798 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.11       |
|    explained_variance   | 0.881       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0274      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0189     |
|    std                  | 0.954       |
|    value_loss           | 0.366       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 334         |
|    ep_rew_mean          | -0.911      |
|    success_rate         | 0.0309      |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 8           |
|    time_elapsed         | 152         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.011872267 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.1        |
|    explained_variance   | 0.869       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.153       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.95        |
|    value_loss           | 0.977       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 286         |
|    ep_rew_mean          | 4.45        |
|    success_rate         | 0.06        |
| time/                   |             |
|    fps                  | 215         |
|    iterations           | 9           |
|    time_elapsed         | 171         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.013309372 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.1        |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.27        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0113     |
|    std                  | 0.953       |
|    value_loss           | 1.35        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 245        |
|    ep_rew_mean          | 6.63       |
|    success_rate         | 0.07       |
| time/                   |            |
|    fps                  | 214        |
|    iterations           | 10         |
|    time_elapsed         | 190        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.01019351 |
|    clip_fraction        | 0.124      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.1       |
|    explained_variance   | 0.835      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.233      |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.00879   |
|    std                  | 0.952      |
|    value_loss           | 1.85       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 227         |
|    ep_rew_mean          | 7.83        |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 11          |
|    time_elapsed         | 210         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.012046891 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.855       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.128       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00859    |
|    std                  | 0.945       |
|    value_loss           | 1.05        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 201        |
|    ep_rew_mean          | 6.72       |
|    success_rate         | 0.06       |
| time/                   |            |
|    fps                  | 213        |
|    iterations           | 12         |
|    time_elapsed         | 229        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.01206205 |
|    clip_fraction        | 0.129      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.08      |
|    explained_variance   | 0.936      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0623     |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0108    |
|    std                  | 0.946      |
|    value_loss           | 0.539      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 193         |
|    ep_rew_mean          | 7.37        |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 13          |
|    time_elapsed         | 248         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.009018196 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.809       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00687    |
|    std                  | 0.947       |
|    value_loss           | 2.58        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 185         |
|    ep_rew_mean          | 7.91        |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 14          |
|    time_elapsed         | 267         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.013243673 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.815       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.601       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00751    |
|    std                  | 0.946       |
|    value_loss           | 2.56        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 179          |
|    ep_rew_mean          | 7.84         |
|    success_rate         | 0.07         |
| time/                   |              |
|    fps                  | 214          |
|    iterations           | 15           |
|    time_elapsed         | 286          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0141637875 |
|    clip_fraction        | 0.128        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.08        |
|    explained_variance   | 0.85         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.645        |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00734     |
|    std                  | 0.946        |
|    value_loss           | 2.02         |
------------------------------------------
