Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/tensorboard/PPO_1
[2026-05-17 18:04:44] N3FZ_TRAIN_START config=decouple_deepsets_obs total_steps=250000 start_num_timesteps=750000
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 118      |
|    ep_rew_mean     | 23.1     |
|    success_rate    | 0.42     |
| time/              |          |
|    fps             | 252      |
|    iterations      | 1        |
|    time_elapsed    | 16       |
|    total_timesteps | 754096   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 22.2        |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 239         |
|    iterations           | 2           |
|    time_elapsed         | 34          |
|    total_timesteps      | 758192      |
| train/                  |             |
|    approx_kl            | 0.024672009 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.72       |
|    explained_variance   | 0.446       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.55        |
|    n_updates            | 1840        |
|    policy_gradient_loss | -0.00198    |
|    std                  | 1.17        |
|    value_loss           | 3.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 22.7        |
|    success_rate         | 0.4         |
| time/                   |             |
|    fps                  | 234         |
|    iterations           | 3           |
|    time_elapsed         | 52          |
|    total_timesteps      | 762288      |
| train/                  |             |
|    approx_kl            | 0.023643691 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.73       |
|    explained_variance   | 0.401       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.418       |
|    n_updates            | 1850        |
|    policy_gradient_loss | -0.00375    |
|    std                  | 1.17        |
|    value_loss           | 3.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 23.3        |
|    success_rate         | 0.41        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 4           |
|    time_elapsed         | 71          |
|    total_timesteps      | 766384      |
| train/                  |             |
|    approx_kl            | 0.022137292 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.73       |
|    explained_variance   | 0.54        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.293       |
|    n_updates            | 1860        |
|    policy_gradient_loss | -0.00629    |
|    std                  | 1.17        |
|    value_loss           | 3.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 22.6        |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 5           |
|    time_elapsed         | 89          |
|    total_timesteps      | 770480      |
| train/                  |             |
|    approx_kl            | 0.024539288 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.72       |
|    explained_variance   | 0.586       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.335       |
|    n_updates            | 1870        |
|    policy_gradient_loss | -0.00441    |
|    std                  | 1.17        |
|    value_loss           | 2.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 21.2        |
|    success_rate         | 0.34        |
| time/                   |             |
|    fps                  | 228         |
|    iterations           | 6           |
|    time_elapsed         | 107         |
|    total_timesteps      | 774576      |
| train/                  |             |
|    approx_kl            | 0.022164222 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.72       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.483       |
|    n_updates            | 1880        |
|    policy_gradient_loss | 0.000777    |
|    std                  | 1.17        |
|    value_loss           | 3.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 19.9        |
|    success_rate         | 0.3         |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 7           |
|    time_elapsed         | 125         |
|    total_timesteps      | 778672      |
| train/                  |             |
|    approx_kl            | 0.022240812 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.72       |
|    explained_variance   | 0.555       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.597       |
|    n_updates            | 1890        |
|    policy_gradient_loss | -0.000848   |
|    std                  | 1.17        |
|    value_loss           | 4.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 20.6        |
|    success_rate         | 0.34        |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 8           |
|    time_elapsed         | 144         |
|    total_timesteps      | 782768      |
| train/                  |             |
|    approx_kl            | 0.018769879 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.73       |
|    explained_variance   | 0.594       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.43        |
|    n_updates            | 1900        |
|    policy_gradient_loss | -0.00317    |
|    std                  | 1.17        |
|    value_loss           | 3.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | 21.1        |
|    success_rate         | 0.34        |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 9           |
|    time_elapsed         | 163         |
|    total_timesteps      | 786864      |
| train/                  |             |
|    approx_kl            | 0.018029697 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.73       |
|    explained_variance   | 0.571       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.336       |
|    n_updates            | 1910        |
|    policy_gradient_loss | -0.00173    |
|    std                  | 1.17        |
|    value_loss           | 3.21        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 21.2        |
|    success_rate         | 0.34        |
| time/                   |             |
|    fps                  | 225         |
|    iterations           | 10          |
|    time_elapsed         | 181         |
|    total_timesteps      | 790960      |
| train/                  |             |
|    approx_kl            | 0.020837503 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.73       |
|    explained_variance   | 0.653       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.354       |
|    n_updates            | 1920        |
|    policy_gradient_loss | 0.00208     |
|    std                  | 1.18        |
|    value_loss           | 3.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 20.9        |
|    success_rate         | 0.3         |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 11          |
|    time_elapsed         | 200         |
|    total_timesteps      | 795056      |
| train/                  |             |
|    approx_kl            | 0.020932697 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.74       |
|    explained_variance   | 0.576       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.336       |
|    n_updates            | 1930        |
|    policy_gradient_loss | -0.00289    |
|    std                  | 1.18        |
|    value_loss           | 3.19        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 115        |
|    ep_rew_mean          | 22.6       |
|    success_rate         | 0.38       |
| time/                   |            |
|    fps                  | 224        |
|    iterations           | 12         |
|    time_elapsed         | 219        |
|    total_timesteps      | 799152     |
| train/                  |            |
|    approx_kl            | 0.02473481 |
|    clip_fraction        | 0.202      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.75      |
|    explained_variance   | 0.646      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.375      |
|    n_updates            | 1940       |
|    policy_gradient_loss | -0.0037    |
|    std                  | 1.19       |
|    value_loss           | 2.93       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 22.7        |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 13          |
|    time_elapsed         | 238         |
|    total_timesteps      | 803248      |
| train/                  |             |
|    approx_kl            | 0.023763513 |
|    clip_fraction        | 0.236       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.78       |
|    explained_variance   | 0.407       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.354       |
|    n_updates            | 1950        |
|    policy_gradient_loss | -0.000391   |
|    std                  | 1.19        |
|    value_loss           | 3.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 22.3        |
|    success_rate         | 0.38        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 14          |
|    time_elapsed         | 258         |
|    total_timesteps      | 807344      |
| train/                  |             |
|    approx_kl            | 0.027003001 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.76       |
|    explained_variance   | 0.591       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.237       |
|    n_updates            | 1960        |
|    policy_gradient_loss | -0.00172    |
|    std                  | 1.18        |
|    value_loss           | 2.4         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 115        |
|    ep_rew_mean          | 21.8       |
|    success_rate         | 0.34       |
| time/                   |            |
|    fps                  | 221        |
|    iterations           | 15         |
|    time_elapsed         | 276        |
|    total_timesteps      | 811440     |
| train/                  |            |
|    approx_kl            | 0.01957484 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.75      |
|    explained_variance   | 0.629      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.447      |
|    n_updates            | 1970       |
|    policy_gradient_loss | -0.00245   |
|    std                  | 1.18       |
|    value_loss           | 3.16       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | 20          |
|    success_rate         | 0.28        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 16          |
|    time_elapsed         | 295         |
|    total_timesteps      | 815536      |
| train/                  |             |
|    approx_kl            | 0.026309745 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.76       |
|    explained_variance   | 0.583       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.502       |
|    n_updates            | 1980        |
|    policy_gradient_loss | -0.00531    |
|    std                  | 1.18        |
|    value_loss           | 3.62        |
-----------------------------------------
[2026-05-17 18:09:44] N3FZ_TRAIN_HEARTBEAT config=decouple_deepsets_obs steps=65992/250000 percent= 26.40% rate=   220.0 step/s eta=  13.94 min recent_reward=18.785
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 20.2        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 17          |
|    time_elapsed         | 314         |
|    total_timesteps      | 819632      |
| train/                  |             |
|    approx_kl            | 0.022350987 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.75       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.43        |
|    n_updates            | 1990        |
|    policy_gradient_loss | -0.00637    |
|    std                  | 1.18        |
|    value_loss           | 2.91        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 20.7        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 18          |
|    time_elapsed         | 332         |
|    total_timesteps      | 823728      |
| train/                  |             |
|    approx_kl            | 0.022023575 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.76       |
|    explained_variance   | 0.639       |
|    learning_rate        | 0.0003      |
