baseline_name,config_name,baseline_category,kind,config_params,implemented,uses_attention_checkpoint,filter_used
random,random,reference,random,{},1,0,0
straight_line,straight_line,reference,straight_line,{},1,0,0
attention_full_1500k,attention_full_1500k,reference,attention_full,{},1,1,0
current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",cpa_reactive,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",1,0,0
naive_apf,naive_apf_d3_w0p6,apf,naive_apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":0.6}",1,0,0
naive_apf,naive_apf_d3_w1,apf,naive_apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
naive_apf,naive_apf_d3_w1p6,apf,naive_apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":1.6}",1,0,0
naive_apf,naive_apf_d4_w0p6,apf,naive_apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":0.6}",1,0,0
naive_apf,naive_apf_d4_w1,apf,naive_apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
naive_apf,naive_apf_d4_w1p6,apf,naive_apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":1.6}",1,0,0
naive_apf,naive_apf_d5_w0p6,apf,naive_apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":0.6}",1,0,0
naive_apf,naive_apf_d5_w1,apf,naive_apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
naive_apf,naive_apf_d5_w1p6,apf,naive_apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":1.6}",1,0,0
velocity_aware_apf,velocity_aware_apf_alpha0p5,apf,velocity_aware_apf,"{""alpha_closing"":0.5,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
velocity_aware_apf,velocity_aware_apf_alpha1,apf,velocity_aware_apf,"{""alpha_closing"":1.0,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
velocity_aware_apf,velocity_aware_apf_alpha2,apf,velocity_aware_apf,"{""alpha_closing"":2.0,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha1,apf,cpa_ttc_weighted_apf,"{""alpha_closing"":1.0,""alpha_cpa"":1.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,cpa_ttc_weighted_apf,"{""alpha_closing"":1.0,""alpha_cpa"":2.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,cpa_ttc_weighted_apf,"{""alpha_closing"":1.0,""alpha_cpa"":3.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",1,0,0
